Entity,Code,Date,Parks
Afghanistan,AFG,2020-02-17,1
Afghanistan,AFG,2020-02-18,1.5
Afghanistan,AFG,2020-02-19,1.4
Afghanistan,AFG,2020-02-20,1
Afghanistan,AFG,2020-02-21,1.429
Afghanistan,AFG,2020-02-22,2.286
Afghanistan,AFG,2020-02-23,2.429
Afghanistan,AFG,2020-02-24,2.714
Afghanistan,AFG,2020-02-25,2.429
Afghanistan,AFG,2020-02-26,2.571
Afghanistan,AFG,2020-02-27,2.857
Afghanistan,AFG,2020-02-28,2.429
Afghanistan,AFG,2020-02-29,1.571
Afghanistan,AFG,2020-03-01,1.571
Afghanistan,AFG,2020-03-02,1.429
Afghanistan,AFG,2020-03-03,1.571
Afghanistan,AFG,2020-03-04,1.429
Afghanistan,AFG,2020-03-05,1.571
Afghanistan,AFG,2020-03-06,2.571
Afghanistan,AFG,2020-03-07,3.143
Afghanistan,AFG,2020-03-08,3.429
Afghanistan,AFG,2020-03-09,2.429
Afghanistan,AFG,2020-03-10,2.286
Afghanistan,AFG,2020-03-11,2.429
Afghanistan,AFG,2020-03-12,2.286
Afghanistan,AFG,2020-03-13,2
Afghanistan,AFG,2020-03-14,2.143
Afghanistan,AFG,2020-03-15,2.286
Afghanistan,AFG,2020-03-16,3.143
Afghanistan,AFG,2020-03-17,3.429
Afghanistan,AFG,2020-03-18,3.857
Afghanistan,AFG,2020-03-19,4.429
Afghanistan,AFG,2020-03-20,4.571
Afghanistan,AFG,2020-03-21,4
Afghanistan,AFG,2020-03-22,3
Afghanistan,AFG,2020-03-23,2.714
Afghanistan,AFG,2020-03-24,2.143
Afghanistan,AFG,2020-03-25,1
Afghanistan,AFG,2020-03-26,-0.286
Afghanistan,AFG,2020-03-27,-1.571
Afghanistan,AFG,2020-03-28,-2.714
Afghanistan,AFG,2020-03-29,-4.286
Afghanistan,AFG,2020-03-30,-6.429
Afghanistan,AFG,2020-03-31,-8.286
Afghanistan,AFG,2020-04-01,-9.143
Afghanistan,AFG,2020-04-02,-10
Afghanistan,AFG,2020-04-03,-10.857
Afghanistan,AFG,2020-04-04,-11.429
Afghanistan,AFG,2020-04-05,-11.429
Afghanistan,AFG,2020-04-06,-10.857
Afghanistan,AFG,2020-04-07,-10.429
Afghanistan,AFG,2020-04-08,-10.857
Afghanistan,AFG,2020-04-09,-11.286
Afghanistan,AFG,2020-04-10,-11.571
Afghanistan,AFG,2020-04-11,-11.714
Afghanistan,AFG,2020-04-12,-12.429
Afghanistan,AFG,2020-04-13,-12.714
Afghanistan,AFG,2020-04-14,-13.143
Afghanistan,AFG,2020-04-15,-12.857
Afghanistan,AFG,2020-04-16,-12.857
Afghanistan,AFG,2020-04-17,-13.143
Afghanistan,AFG,2020-04-18,-13.571
Afghanistan,AFG,2020-04-19,-13.286
Afghanistan,AFG,2020-04-20,-13.286
Afghanistan,AFG,2020-04-21,-13.143
Afghanistan,AFG,2020-04-22,-13.714
Afghanistan,AFG,2020-04-23,-14.143
Afghanistan,AFG,2020-04-24,-16
Afghanistan,AFG,2020-04-25,-17.143
Afghanistan,AFG,2020-04-26,-18.143
Afghanistan,AFG,2020-04-27,-19.429
Afghanistan,AFG,2020-04-28,-20.286
Afghanistan,AFG,2020-04-29,-20.571
Afghanistan,AFG,2020-04-30,-21
Afghanistan,AFG,2020-05-01,-20.714
Afghanistan,AFG,2020-05-02,-20.571
Afghanistan,AFG,2020-05-03,-21.143
Afghanistan,AFG,2020-05-04,-21.143
Afghanistan,AFG,2020-05-05,-21.429
Afghanistan,AFG,2020-05-06,-22
Afghanistan,AFG,2020-05-07,-22.286
Afghanistan,AFG,2020-05-08,-21.571
Afghanistan,AFG,2020-05-09,-21.286
Afghanistan,AFG,2020-05-10,-20.857
Afghanistan,AFG,2020-05-11,-20.429
Afghanistan,AFG,2020-05-12,-20.143
Afghanistan,AFG,2020-05-13,-20
Afghanistan,AFG,2020-05-14,-19.286
Afghanistan,AFG,2020-05-15,-18.857
Afghanistan,AFG,2020-05-16,-17.714
Afghanistan,AFG,2020-05-17,-17.286
Afghanistan,AFG,2020-05-18,-16.714
Afghanistan,AFG,2020-07-03,-14.143
Afghanistan,AFG,2020-07-04,-11.857
Afghanistan,AFG,2020-07-05,-10
Afghanistan,AFG,2020-07-06,-8
Afghanistan,AFG,2020-07-07,-6.714
Afghanistan,AFG,2020-07-08,-4.143
Afghanistan,AFG,2020-07-09,-2.143
Afghanistan,AFG,2020-07-10,-1.571
Afghanistan,AFG,2020-07-11,-0.714
Afghanistan,AFG,2020-07-12,-0.714
Afghanistan,AFG,2020-07-13,-0.714
Afghanistan,AFG,2020-07-14,-0.571
Afghanistan,AFG,2020-07-15,-0.429
Afghanistan,AFG,2020-07-16,-1
Afghanistan,AFG,2020-07-17,-1
Afghanistan,AFG,2020-07-18,-1.714
Afghanistan,AFG,2020-07-19,-1.429
Afghanistan,AFG,2020-07-20,-1.571
Afghanistan,AFG,2020-07-21,-1.286
Afghanistan,AFG,2020-07-22,-1.571
Afghanistan,AFG,2020-07-23,-1.286
Afghanistan,AFG,2020-07-24,-1.571
Afghanistan,AFG,2020-07-25,-0.857
Afghanistan,AFG,2020-07-26,-0.714
Afghanistan,AFG,2020-07-27,-0.143
Afghanistan,AFG,2020-07-28,0.286
Afghanistan,AFG,2020-07-29,1.286
Afghanistan,AFG,2020-07-30,1.714
Afghanistan,AFG,2020-07-31,2
Afghanistan,AFG,2020-08-01,2.857
Afghanistan,AFG,2020-08-02,4
Afghanistan,AFG,2020-08-03,5.429
Afghanistan,AFG,2020-08-04,6.429
Afghanistan,AFG,2020-08-05,6.857
Afghanistan,AFG,2020-08-06,7.571
Afghanistan,AFG,2020-08-07,8.429
Afghanistan,AFG,2020-08-08,7.429
Afghanistan,AFG,2020-08-09,6.571
Afghanistan,AFG,2020-08-10,6.429
Afghanistan,AFG,2020-08-11,6.286
Afghanistan,AFG,2020-08-12,6.143
Afghanistan,AFG,2020-08-13,6.429
Afghanistan,AFG,2020-08-14,6.857
Afghanistan,AFG,2020-08-15,7.857
Afghanistan,AFG,2020-08-16,8.857
Afghanistan,AFG,2020-08-17,8.5
Afghanistan,AFG,2020-08-18,8.4
Afghanistan,AFG,2020-08-19,9.25
Afghanistan,AFG,2020-08-20,10
Angola,AGO,2020-02-17,-0.667
Angola,AGO,2020-02-18,-1.5
Angola,AGO,2020-02-19,-1.8
Angola,AGO,2020-02-20,-1.5
Angola,AGO,2020-02-21,-0.857
Angola,AGO,2020-02-22,0.143
Angola,AGO,2020-02-23,2.429
Angola,AGO,2020-02-24,2.571
Angola,AGO,2020-02-25,1.429
Angola,AGO,2020-02-26,1.571
Angola,AGO,2020-02-27,2.286
Angola,AGO,2020-02-28,3
Angola,AGO,2020-02-29,2.286
Angola,AGO,2020-03-01,1.429
Angola,AGO,2020-03-02,2.143
Angola,AGO,2020-03-03,5
Angola,AGO,2020-03-04,7
Angola,AGO,2020-03-05,8.714
Angola,AGO,2020-03-06,9
Angola,AGO,2020-03-07,10.286
Angola,AGO,2020-03-08,11
Angola,AGO,2020-03-09,10.857
Angola,AGO,2020-03-10,10.143
Angola,AGO,2020-03-11,9.143
Angola,AGO,2020-03-12,8.143
Angola,AGO,2020-03-13,7.429
Angola,AGO,2020-03-14,6
Angola,AGO,2020-03-15,4.857
Angola,AGO,2020-03-16,4
Angola,AGO,2020-03-17,3.571
Angola,AGO,2020-03-18,2.714
Angola,AGO,2020-03-19,2
Angola,AGO,2020-03-20,0.571
Angola,AGO,2020-03-21,-1.714
Angola,AGO,2020-03-22,-5.286
Angola,AGO,2020-03-23,-9.857
Angola,AGO,2020-03-24,-12.857
Angola,AGO,2020-03-25,-16.143
Angola,AGO,2020-03-26,-18.143
Angola,AGO,2020-03-27,-22
Angola,AGO,2020-03-28,-24.857
Angola,AGO,2020-03-29,-26.286
Angola,AGO,2020-03-30,-26.857
Angola,AGO,2020-03-31,-29.143
Angola,AGO,2020-04-01,-31.429
Angola,AGO,2020-04-02,-35
Angola,AGO,2020-04-03,-36.286
Angola,AGO,2020-04-04,-37.571
Angola,AGO,2020-04-05,-38.857
Angola,AGO,2020-04-06,-39.143
Angola,AGO,2020-04-07,-39.714
Angola,AGO,2020-04-08,-39.857
Angola,AGO,2020-04-09,-39.857
Angola,AGO,2020-04-10,-41
Angola,AGO,2020-04-11,-41
Angola,AGO,2020-04-12,-40.571
Angola,AGO,2020-04-13,-40.857
Angola,AGO,2020-04-14,-40.714
Angola,AGO,2020-04-15,-40.714
Angola,AGO,2020-04-16,-41
Angola,AGO,2020-04-17,-40.143
Angola,AGO,2020-04-18,-40.429
Angola,AGO,2020-04-19,-40.714
Angola,AGO,2020-04-20,-40.571
Angola,AGO,2020-04-21,-40.143
Angola,AGO,2020-04-22,-40.143
Angola,AGO,2020-04-23,-40.143
Angola,AGO,2020-04-24,-39.571
Angola,AGO,2020-04-25,-37.857
Angola,AGO,2020-04-26,-37
Angola,AGO,2020-04-27,-35.286
Angola,AGO,2020-04-28,-32.714
Angola,AGO,2020-04-29,-30
Angola,AGO,2020-04-30,-26.714
Angola,AGO,2020-05-01,-26.571
Angola,AGO,2020-05-02,-25.714
Angola,AGO,2020-05-03,-25.571
Angola,AGO,2020-05-04,-25.286
Angola,AGO,2020-05-05,-26.286
Angola,AGO,2020-05-06,-26.857
Angola,AGO,2020-05-07,-27.714
Angola,AGO,2020-05-08,-26.143
Angola,AGO,2020-05-09,-25.857
Angola,AGO,2020-05-10,-25.429
Angola,AGO,2020-05-11,-25.429
Angola,AGO,2020-05-12,-24.714
Angola,AGO,2020-05-13,-24.571
Angola,AGO,2020-05-14,-24.286
Angola,AGO,2020-05-15,-23.857
Angola,AGO,2020-05-16,-23.286
Angola,AGO,2020-05-17,-23.286
Angola,AGO,2020-05-18,-23
Angola,AGO,2020-05-19,-23.429
Angola,AGO,2020-05-20,-23.429
Angola,AGO,2020-05-21,-23.143
Angola,AGO,2020-05-22,-22.857
Angola,AGO,2020-05-23,-23.429
Angola,AGO,2020-05-24,-23.143
Angola,AGO,2020-05-25,-23
Angola,AGO,2020-05-26,-22.571
Angola,AGO,2020-05-27,-21.429
Angola,AGO,2020-05-28,-20.857
Angola,AGO,2020-05-29,-19.286
Angola,AGO,2020-05-30,-17.143
Angola,AGO,2020-05-31,-15.143
Angola,AGO,2020-06-01,-12.857
Angola,AGO,2020-06-02,-10.857
Angola,AGO,2020-06-03,-9.857
Angola,AGO,2020-06-04,-9.143
Angola,AGO,2020-06-05,-9.429
Angola,AGO,2020-06-06,-10
Angola,AGO,2020-06-07,-10.429
Angola,AGO,2020-06-08,-11.286
Angola,AGO,2020-06-09,-12.143
Angola,AGO,2020-06-10,-12.143
Angola,AGO,2020-06-11,-11.571
Angola,AGO,2020-06-12,-11.286
Angola,AGO,2020-06-13,-11.286
Angola,AGO,2020-06-14,-11.429
Angola,AGO,2020-06-15,-11.286
Angola,AGO,2020-06-16,-11
Angola,AGO,2020-06-17,-11.429
Angola,AGO,2020-06-18,-12.429
Angola,AGO,2020-06-19,-13
Angola,AGO,2020-06-20,-13.143
Angola,AGO,2020-06-21,-12.857
Angola,AGO,2020-06-22,-13.143
Angola,AGO,2020-06-23,-13.143
Angola,AGO,2020-06-24,-12.857
Angola,AGO,2020-06-25,-11.429
Angola,AGO,2020-06-26,-10.429
Angola,AGO,2020-06-27,-9.429
Angola,AGO,2020-06-28,-8.714
Angola,AGO,2020-06-29,-7.429
Angola,AGO,2020-06-30,-6.714
Angola,AGO,2020-07-01,-5.857
Angola,AGO,2020-07-02,-5.571
Angola,AGO,2020-07-03,-5.143
Angola,AGO,2020-07-04,-4.857
Angola,AGO,2020-07-05,-5
Angola,AGO,2020-07-06,-5.429
Angola,AGO,2020-07-07,-5.429
Angola,AGO,2020-07-08,-6.286
Angola,AGO,2020-07-09,-7.571
Angola,AGO,2020-07-10,-8.714
Angola,AGO,2020-07-11,-9.714
Angola,AGO,2020-07-12,-10.286
Angola,AGO,2020-07-13,-10.857
Angola,AGO,2020-07-14,-12
Angola,AGO,2020-07-15,-12.714
Angola,AGO,2020-07-16,-13.143
Angola,AGO,2020-07-17,-13.857
Angola,AGO,2020-07-18,-14.714
Angola,AGO,2020-07-19,-15.286
