Entity,Code,Date,Retail & Recreation
Afghanistan,AFG,2020-02-17,0
Afghanistan,AFG,2020-02-18,0.75
Afghanistan,AFG,2020-02-19,0.4
Afghanistan,AFG,2020-02-20,0
Afghanistan,AFG,2020-02-21,0
Afghanistan,AFG,2020-02-22,1.571
Afghanistan,AFG,2020-02-23,1.429
Afghanistan,AFG,2020-02-24,1
Afghanistan,AFG,2020-02-25,0.857
Afghanistan,AFG,2020-02-26,0.857
Afghanistan,AFG,2020-02-27,1
Afghanistan,AFG,2020-02-28,0.714
Afghanistan,AFG,2020-02-29,0.286
Afghanistan,AFG,2020-03-01,0.429
Afghanistan,AFG,2020-03-02,0.714
Afghanistan,AFG,2020-03-03,0.857
Afghanistan,AFG,2020-03-04,0.714
Afghanistan,AFG,2020-03-05,1.286
Afghanistan,AFG,2020-03-06,2
Afghanistan,AFG,2020-03-07,2.143
Afghanistan,AFG,2020-03-08,2.429
Afghanistan,AFG,2020-03-09,-0.429
Afghanistan,AFG,2020-03-10,-0.857
Afghanistan,AFG,2020-03-11,-0.286
Afghanistan,AFG,2020-03-12,-0.571
Afghanistan,AFG,2020-03-13,-0.571
Afghanistan,AFG,2020-03-14,0.286
Afghanistan,AFG,2020-03-15,-0.286
Afghanistan,AFG,2020-03-16,2
Afghanistan,AFG,2020-03-17,2
Afghanistan,AFG,2020-03-18,1.714
Afghanistan,AFG,2020-03-19,1.143
Afghanistan,AFG,2020-03-20,-1.429
Afghanistan,AFG,2020-03-21,-5.571
Afghanistan,AFG,2020-03-22,-7.429
Afghanistan,AFG,2020-03-23,-9.143
Afghanistan,AFG,2020-03-24,-11.286
Afghanistan,AFG,2020-03-25,-13.857
Afghanistan,AFG,2020-03-26,-16
Afghanistan,AFG,2020-03-27,-16.714
Afghanistan,AFG,2020-03-28,-18.571
Afghanistan,AFG,2020-03-29,-22.286
Afghanistan,AFG,2020-03-30,-26.571
Afghanistan,AFG,2020-03-31,-30.571
Afghanistan,AFG,2020-04-01,-34.286
Afghanistan,AFG,2020-04-02,-38
Afghanistan,AFG,2020-04-03,-40.571
Afghanistan,AFG,2020-04-04,-41.571
Afghanistan,AFG,2020-04-05,-42.571
Afghanistan,AFG,2020-04-06,-43.143
Afghanistan,AFG,2020-04-07,-42.857
Afghanistan,AFG,2020-04-08,-43.286
Afghanistan,AFG,2020-04-09,-44
Afghanistan,AFG,2020-04-10,-44.429
Afghanistan,AFG,2020-04-11,-44.857
Afghanistan,AFG,2020-04-12,-45.286
Afghanistan,AFG,2020-04-13,-45.429
Afghanistan,AFG,2020-04-14,-46.429
Afghanistan,AFG,2020-04-15,-45.714
Afghanistan,AFG,2020-04-16,-45.286
Afghanistan,AFG,2020-04-17,-45.286
Afghanistan,AFG,2020-04-18,-44.857
Afghanistan,AFG,2020-04-19,-44.143
Afghanistan,AFG,2020-04-20,-43.571
Afghanistan,AFG,2020-04-21,-42.571
Afghanistan,AFG,2020-04-22,-42.571
Afghanistan,AFG,2020-04-23,-42.143
Afghanistan,AFG,2020-04-24,-42.714
Afghanistan,AFG,2020-04-25,-43.429
Afghanistan,AFG,2020-04-26,-44
Afghanistan,AFG,2020-04-27,-45
Afghanistan,AFG,2020-04-28,-45.571
Afghanistan,AFG,2020-04-29,-45.571
Afghanistan,AFG,2020-04-30,-46.143
Afghanistan,AFG,2020-05-01,-46.143
Afghanistan,AFG,2020-05-02,-46
Afghanistan,AFG,2020-05-03,-46.286
Afghanistan,AFG,2020-05-04,-45.714
Afghanistan,AFG,2020-05-05,-45.714
Afghanistan,AFG,2020-05-06,-46
Afghanistan,AFG,2020-05-07,-45.571
Afghanistan,AFG,2020-05-08,-44.714
Afghanistan,AFG,2020-05-09,-43.714
Afghanistan,AFG,2020-05-10,-42.429
Afghanistan,AFG,2020-05-11,-41.429
Afghanistan,AFG,2020-05-12,-40.429
Afghanistan,AFG,2020-05-13,-39.571
Afghanistan,AFG,2020-05-14,-38.571
Afghanistan,AFG,2020-05-15,-37
Afghanistan,AFG,2020-05-16,-35.286
Afghanistan,AFG,2020-05-17,-34.143
Afghanistan,AFG,2020-05-18,-32.857
Afghanistan,AFG,2020-07-03,-29.429
Afghanistan,AFG,2020-07-04,-25.429
Afghanistan,AFG,2020-07-05,-21.429
Afghanistan,AFG,2020-07-06,-18.429
Afghanistan,AFG,2020-07-07,-15.143
Afghanistan,AFG,2020-07-08,-11.857
Afghanistan,AFG,2020-07-09,-9
Afghanistan,AFG,2020-07-10,-8
Afghanistan,AFG,2020-07-11,-7.286
Afghanistan,AFG,2020-07-12,-6.714
Afghanistan,AFG,2020-07-13,-6.286
Afghanistan,AFG,2020-07-14,-6.429
Afghanistan,AFG,2020-07-15,-6
Afghanistan,AFG,2020-07-16,-5.714
Afghanistan,AFG,2020-07-17,-5.429
Afghanistan,AFG,2020-07-18,-5.286
Afghanistan,AFG,2020-07-19,-5.143
Afghanistan,AFG,2020-07-20,-4.714
Afghanistan,AFG,2020-07-21,-4.571
Afghanistan,AFG,2020-07-22,-4.286
Afghanistan,AFG,2020-07-23,-4.286
Afghanistan,AFG,2020-07-24,-4
Afghanistan,AFG,2020-07-25,-4.286
Afghanistan,AFG,2020-07-26,-4.429
Afghanistan,AFG,2020-07-27,-4.714
Afghanistan,AFG,2020-07-28,-4.143
Afghanistan,AFG,2020-07-29,-3.286
Afghanistan,AFG,2020-07-30,-3
Afghanistan,AFG,2020-07-31,-6.286
Afghanistan,AFG,2020-08-01,-10.143
Afghanistan,AFG,2020-08-02,-13.857
Afghanistan,AFG,2020-08-03,-16
Afghanistan,AFG,2020-08-04,-17.429
Afghanistan,AFG,2020-08-05,-19
Afghanistan,AFG,2020-08-06,-19.571
Afghanistan,AFG,2020-08-07,-16.714
Afghanistan,AFG,2020-08-08,-13.714
Afghanistan,AFG,2020-08-09,-10.714
Afghanistan,AFG,2020-08-10,-7.143
Afghanistan,AFG,2020-08-11,-5.286
Afghanistan,AFG,2020-08-12,-3.429
Afghanistan,AFG,2020-08-13,-2
Afghanistan,AFG,2020-08-14,-0.714
Afghanistan,AFG,2020-08-15,1.571
Afghanistan,AFG,2020-08-16,3.857
Afghanistan,AFG,2020-08-17,3.333
Afghanistan,AFG,2020-08-18,3.6
Afghanistan,AFG,2020-08-19,3.5
Afghanistan,AFG,2020-08-20,4.333
Angola,AGO,2020-02-17,-2.333
Angola,AGO,2020-02-18,-2.5
Angola,AGO,2020-02-19,-4
Angola,AGO,2020-02-20,-4
Angola,AGO,2020-02-21,-3.714
Angola,AGO,2020-02-22,-4.143
Angola,AGO,2020-02-23,-3.714
Angola,AGO,2020-02-24,-4.143
Angola,AGO,2020-02-25,-6.143
Angola,AGO,2020-02-26,-5.143
Angola,AGO,2020-02-27,-4.286
Angola,AGO,2020-02-28,-3.143
Angola,AGO,2020-02-29,-2.143
Angola,AGO,2020-03-01,-1.286
Angola,AGO,2020-03-02,0.857
Angola,AGO,2020-03-03,3.857
Angola,AGO,2020-03-04,5.286
Angola,AGO,2020-03-05,5.714
Angola,AGO,2020-03-06,5.714
Angola,AGO,2020-03-07,5.714
Angola,AGO,2020-03-08,5.714
Angola,AGO,2020-03-09,4.857
Angola,AGO,2020-03-10,4.429
Angola,AGO,2020-03-11,3.571
Angola,AGO,2020-03-12,3
Angola,AGO,2020-03-13,2.429
Angola,AGO,2020-03-14,1.714
Angola,AGO,2020-03-15,0.286
Angola,AGO,2020-03-16,-0.286
Angola,AGO,2020-03-17,-1.286
Angola,AGO,2020-03-18,-2
Angola,AGO,2020-03-19,-2.714
Angola,AGO,2020-03-20,-3.714
Angola,AGO,2020-03-21,-5.429
Angola,AGO,2020-03-22,-9.429
Angola,AGO,2020-03-23,-15
Angola,AGO,2020-03-24,-17.857
Angola,AGO,2020-03-25,-20.429
Angola,AGO,2020-03-26,-21.286
Angola,AGO,2020-03-27,-27.429
Angola,AGO,2020-03-28,-33.286
Angola,AGO,2020-03-29,-37.286
Angola,AGO,2020-03-30,-39
Angola,AGO,2020-03-31,-43.143
Angola,AGO,2020-04-01,-47.857
Angola,AGO,2020-04-02,-54.286
Angola,AGO,2020-04-03,-55.714
Angola,AGO,2020-04-04,-56.714
Angola,AGO,2020-04-05,-56.857
Angola,AGO,2020-04-06,-56.429
Angola,AGO,2020-04-07,-56.143
Angola,AGO,2020-04-08,-56
Angola,AGO,2020-04-09,-55.429
Angola,AGO,2020-04-10,-55.714
Angola,AGO,2020-04-11,-55
Angola,AGO,2020-04-12,-54.714
Angola,AGO,2020-04-13,-55.143
Angola,AGO,2020-04-14,-55
Angola,AGO,2020-04-15,-55
Angola,AGO,2020-04-16,-55.143
Angola,AGO,2020-04-17,-54.571
Angola,AGO,2020-04-18,-55.571
Angola,AGO,2020-04-19,-56
Angola,AGO,2020-04-20,-56
Angola,AGO,2020-04-21,-56.143
Angola,AGO,2020-04-22,-56.286
Angola,AGO,2020-04-23,-56.143
Angola,AGO,2020-04-24,-56
Angola,AGO,2020-04-25,-54.143
Angola,AGO,2020-04-26,-52.429
Angola,AGO,2020-04-27,-49.857
Angola,AGO,2020-04-28,-46.857
Angola,AGO,2020-04-29,-43.429
Angola,AGO,2020-04-30,-40.143
Angola,AGO,2020-05-01,-39.571
Angola,AGO,2020-05-02,-38
Angola,AGO,2020-05-03,-38.286
Angola,AGO,2020-05-04,-38.286
Angola,AGO,2020-05-05,-38.429
Angola,AGO,2020-05-06,-38.857
Angola,AGO,2020-05-07,-39.571
Angola,AGO,2020-05-08,-37.857
Angola,AGO,2020-05-09,-37.714
Angola,AGO,2020-05-10,-37.571
Angola,AGO,2020-05-11,-37.429
Angola,AGO,2020-05-12,-37.429
Angola,AGO,2020-05-13,-37.429
Angola,AGO,2020-05-14,-37.429
Angola,AGO,2020-05-15,-37.286
Angola,AGO,2020-05-16,-37.286
Angola,AGO,2020-05-17,-37.143
Angola,AGO,2020-05-18,-37
Angola,AGO,2020-05-19,-37.143
Angola,AGO,2020-05-20,-37.429
Angola,AGO,2020-05-21,-37.571
Angola,AGO,2020-05-22,-37.429
Angola,AGO,2020-05-23,-36.857
Angola,AGO,2020-05-24,-36
Angola,AGO,2020-05-25,-35.143
Angola,AGO,2020-05-26,-33.571
Angola,AGO,2020-05-27,-31.143
Angola,AGO,2020-05-28,-28.714
Angola,AGO,2020-05-29,-26
Angola,AGO,2020-05-30,-24
Angola,AGO,2020-05-31,-22
Angola,AGO,2020-06-01,-19.429
Angola,AGO,2020-06-02,-18.286
Angola,AGO,2020-06-03,-17.714
Angola,AGO,2020-06-04,-17.571
Angola,AGO,2020-06-05,-17.714
Angola,AGO,2020-06-06,-17.714
Angola,AGO,2020-06-07,-17.857
Angola,AGO,2020-06-08,-18.429
Angola,AGO,2020-06-09,-18.571
Angola,AGO,2020-06-10,-18.429
Angola,AGO,2020-06-11,-18.429
Angola,AGO,2020-06-12,-18.286
Angola,AGO,2020-06-13,-18.286
Angola,AGO,2020-06-14,-18
Angola,AGO,2020-06-15,-18
Angola,AGO,2020-06-16,-17.714
Angola,AGO,2020-06-17,-17.857
Angola,AGO,2020-06-18,-18.143
Angola,AGO,2020-06-19,-18.571
Angola,AGO,2020-06-20,-18.714
Angola,AGO,2020-06-21,-18.714
Angola,AGO,2020-06-22,-19.143
Angola,AGO,2020-06-23,-19.429
Angola,AGO,2020-06-24,-19.143
Angola,AGO,2020-06-25,-18
Angola,AGO,2020-06-26,-16.143
Angola,AGO,2020-06-27,-14.571
Angola,AGO,2020-06-28,-13.286
Angola,AGO,2020-06-29,-11.714
Angola,AGO,2020-06-30,-10
Angola,AGO,2020-07-01,-8.714
Angola,AGO,2020-07-02,-8
Angola,AGO,2020-07-03,-8.143
Angola,AGO,2020-07-04,-8.571
Angola,AGO,2020-07-05,-8.571
